species;clade;group;desert
Ablepharus_budaki;Scincoidea;lizard;Out
Ablepharus_chernovi;Scincoidea;lizard;Out
Ablepharus_grayanus;Scincoidea;lizard;Persian
Ablepharus_kitaibelii;Scincoidea;lizard;Out
Abronia_anzuetoi;Anguimorpha;lizard;Out
Abronia_aurita;Anguimorpha;lizard;Out
Abronia_campbelli;Anguimorpha;lizard;Out
Abronia_chiszari;Anguimorpha;lizard;Out
Abronia_fimbriata;Anguimorpha;lizard;Out
Abronia_frosti;Anguimorpha;lizard;Out
Abronia_graminea;Anguimorpha;lizard;Out
Abronia_lythrochila;Anguimorpha;lizard;Out
Abronia_matudai;Anguimorpha;lizard;Out
Abronia_mixteca;Anguimorpha;lizard;Out
Abronia_oaxacae;Anguimorpha;lizard;Out
Abronia_ornelasi;Anguimorpha;lizard;Out
Acanthocercus_annectens;Iguania;lizard;Saharab
Acanthocercus_atricollis;Iguania;lizard;Out
Acanthocercus_cyanogaster;Iguania;lizard;Out
Acanthocercus_yemensis;Iguania;lizard;Saharab
Acanthodactylus_aureus;Lacertoidea;lizard;Saharab
Acanthodactylus_bedriagai;Lacertoidea;lizard;Saharab
Acanthodactylus_beershebensis;Lacertoidea;lizard;Saharab
Acanthodactylus_blanci;Lacertoidea;lizard;Out
Acanthodactylus_blanfordii;Lacertoidea;lizard;Persian
Acanthodactylus_boskianus;Lacertoidea;lizard;Saharab
Acanthodactylus_busacki;Lacertoidea;lizard;Saharab
Acanthodactylus_cantoris;Lacertoidea;lizard;Persian
Acanthodactylus_erythrurus;Lacertoidea;lizard;Out
Acanthodactylus_felicis;Lacertoidea;lizard;Saharab
Acanthodactylus_gongrorhynchatus;Lacertoidea;lizard;Saharab
Acanthodactylus_grandis;Lacertoidea;lizard;Saharab
Acanthodactylus_khamirensis;Lacertoidea;lizard;Persian
Acanthodactylus_lineomaculatus;Lacertoidea;lizard;Out
Acanthodactylus_longipes;Lacertoidea;lizard;Saharab
Acanthodactylus_maculatus;Lacertoidea;lizard;Saharab
Acanthodactylus_masirae;Lacertoidea;lizard;Saharab
Acanthodactylus_micropholis;Lacertoidea;lizard;Persian
Acanthodactylus_nilsoni;Lacertoidea;lizard;Saharab
Acanthodactylus_opheodurus;Lacertoidea;lizard;Saharab
Acanthodactylus_orientalis;Lacertoidea;lizard;Saharab
Acanthodactylus_pardalis;Lacertoidea;lizard;Saharab
Acanthodactylus_schmidti;Lacertoidea;lizard;Saharab
Acanthodactylus_schreiberi;Lacertoidea;lizard;Out
Acanthodactylus_scutellatus;Lacertoidea;lizard;Saharab
Acanthodactylus_tristrami;Lacertoidea;lizard;Saharab
Acanthophis_antarcticus;Serpentes;snake;Out
Acanthophis_praelongus;Serpentes;snake;Out
Acanthophis_pyrrhus;Serpentes;snake;Australian
Acanthophis_rugosus;Serpentes;snake;Out
Acanthophis_wellsi;Serpentes;snake;Australian
Acanthosaura_armata;Iguania;lizard;Out
Acanthosaura_capra;Iguania;lizard;Out
Acanthosaura_cardamomensis;Iguania;lizard;Out
Acanthosaura_crucigera;Iguania;lizard;Out
Acanthosaura_lepidogaster;Iguania;lizard;Out
Achalinus_meiguensis;Serpentes;snake;Out
Achalinus_rufescens;Serpentes;snake;Out
Acontias_aurantiacus;Scincoidea;lizard;Out
Acontias_bicolor;Scincoidea;lizard;Out
Acontias_breviceps;Scincoidea;lizard;Out
Acontias_cregoi;Scincoidea;lizard;Out
Acontias_gariepensis;Scincoidea;lizard;Kalahari
Acontias_gracilicauda;Scincoidea;lizard;Kalahari
Acontias_jappi;Scincoidea;lizard;Out
Acontias_kgalagadi;Scincoidea;lizard;Kalahari
Acontias_lineatus;Scincoidea;lizard;Kalahari
Acontias_litoralis;Scincoidea;lizard;Kalahari
Acontias_meleagris;Scincoidea;lizard;Kalahari
Acontias_namaquensis;Scincoidea;lizard;Kalahari
Acontias_occidentalis;Scincoidea;lizard;Kalahari
Acontias_orientalis;Scincoidea;lizard;Kalahari
Acontias_percivali;Scincoidea;lizard;Kalahari
Acontias_plumbeus;Scincoidea;lizard;Out
Acontias_poecilus;Scincoidea;lizard;Out
Acontias_richardi;Scincoidea;lizard;Out
Acontias_rieppeli;Scincoidea;lizard;Kalahari
Acontias_tristis;Scincoidea;lizard;Kalahari
Acrantophis_dumerili;Serpentes;snake;Out
Acrantophis_madagascariensis;Serpentes;snake;Out
Acratosaura_mentalis;Lacertoidea;lizard;Out
Acrochordus_arafurae;Serpentes;snake;Out
Acrochordus_granulatus;Serpentes;snake;Out
Acrochordus_javanicus;Serpentes;snake;Out
Acutotyphlops_kunuaensis;Serpentes;snake;Out
Acutotyphlops_subocularis;Serpentes;snake;Out
Adelophis_foxi;Serpentes;snake;Out
Adelphicos_quadrivirgatum;Serpentes;snake;Out
Adolfus_africanus;Lacertoidea;lizard;Out
Adolfus_alleni;Lacertoidea;lizard;Out
Adolfus_jacksoni;Lacertoidea;lizard;Out
Aeluroscalabotes_felinus;Gekkota;lizard;Out
Afroablepharus_africanus;Scincoidea;lizard;Out
Afroablepharus_annobonensis;Scincoidea;lizard;Out
Afroablepharus_wahlbergi;Scincoidea;lizard;Out
Afroedura_africana;Gekkota;lizard;Kalahari
Afroedura_amatolica;Gekkota;lizard;Out
Afroedura_bogerti;Gekkota;lizard;Kalahari
Afroedura_broadleyi;Gekkota;lizard;Out
Afroedura_granitica;Gekkota;lizard;Out
Afroedura_halli;Gekkota;lizard;Out
Afroedura_hawequensis;Gekkota;lizard;Kalahari
Afroedura_karroica;Gekkota;lizard;Kalahari
Afroedura_langi;Gekkota;lizard;Out
Afroedura_loveridgei;Gekkota;lizard;Out
Afroedura_major;Gekkota;lizard;Out
Afroedura_maripi;Gekkota;lizard;Out
Afroedura_marleyi;Gekkota;lizard;Out
Afroedura_multiporis;Gekkota;lizard;Out
Afroedura_nivaria;Gekkota;lizard;Out
Afroedura_pienaari;Gekkota;lizard;Out
Afroedura_pondolia;Gekkota;lizard;Out
Afroedura_pongola;Gekkota;lizard;Out
Afroedura_tembulica;Gekkota;lizard;Out
Afroedura_transvaalica;Gekkota;lizard;Out
Afroedura_waterbergensis;Gekkota;lizard;Out
Afrogecko_porphyreus;Gekkota;lizard;Kalahari
Afronatrix_anoscopus;Serpentes;snake;Out
Afrotyphlops_angolensis;Serpentes;snake;Out
Afrotyphlops_bibronii;Serpentes;snake;Out
Afrotyphlops_congestus;Serpentes;snake;Out
Afrotyphlops_elegans;Serpentes;snake;Out
Afrotyphlops_fornasinii;Serpentes;snake;Out
Afrotyphlops_lineolatus;Serpentes;snake;Out
Afrotyphlops_mucruso;Serpentes;snake;Out
Afrotyphlops_obtusus;Serpentes;snake;Out
Afrotyphlops_punctatus;Serpentes;snake;Out
Afrotyphlops_schlegelii;Serpentes;snake;Kalahari
Agama_aculeata;Iguania;lizard;Kalahari
Agama_africana;Iguania;lizard;Out
Agama_agama;Iguania;lizard;Out
Agama_anchietae;Iguania;lizard;Kalahari
Agama_armata;Iguania;lizard;Out
Agama_atra;Iguania;lizard;Kalahari
Agama_boensis;Iguania;lizard;Out
Agama_bottegi;Iguania;lizard;Out
Agama_boueti;Iguania;lizard;Saharab
Agama_boulengeri;Iguania;lizard;Saharab
Agama_caudospinosa;Iguania;lizard;Out
Agama_cristata;Iguania;lizard;Out
Agama_doriae;Iguania;lizard;Out
Agama_etoshae;Iguania;lizard;Out
Agama_finchi;Iguania;lizard;Out
Agama_gracilimembris;Iguania;lizard;Out
Agama_hartmanni;Iguania;lizard;Saharab
Agama_hispida;Iguania;lizard;Kalahari
Agama_impalearis;Iguania;lizard;Saharab
Agama_insularis;Iguania;lizard;Out
Agama_kaimosae;Iguania;lizard;Out
Agama_kirkii;Iguania;lizard;Out
Agama_lebretoni;Iguania;lizard;Out
Agama_lionotus;Iguania;lizard;Out
Agama_montana;Iguania;lizard;Out
Agama_mossambica;Iguania;lizard;Out
Agama_mwanzae;Iguania;lizard;Out
Agama_parafricana;Iguania;lizard;Out
Agama_paragama;Iguania;lizard;Out
Agama_planiceps;Iguania;lizard;Kalahari
Agama_robecchii;Iguania;lizard;Saharab
Agama_rueppelli;Iguania;lizard;Out
Agama_sankaranica;Iguania;lizard;Out
Agama_spinosa;Iguania;lizard;Saharab
Agama_tassiliensis;Iguania;lizard;Saharab
Agama_turuensis;Iguania;lizard;Out
Agama_weidholzi;Iguania;lizard;Out
Agamodon_anguliceps;Lacertoidea;worm lizard;Out
Agamura_persica;Gekkota;lizard;Persian
Agkistrodon_bilineatus;Serpentes;snake;Out
Agkistrodon_contortrix;Serpentes;snake;Out
Agkistrodon_piscivorus;Serpentes;snake;Out
Agkistrodon_taylori;Serpentes;snake;American
Ahaetulla_fronticincta;Serpentes;snake;Out
Ahaetulla_nasuta;Serpentes;snake;Out
Ahaetulla_prasina;Serpentes;snake;Out
Ahaetulla_pulverulenta;Serpentes;snake;Out
Ailuronyx_seychellensis;Gekkota;lizard;Out
Ailuronyx_tachyscopaeus;Gekkota;lizard;Out
Ailuronyx_trachygaster;Gekkota;lizard;Out
Alexandresaurus_camacan;Lacertoidea;lizard;Out
Algyroides_fitzingeri;Lacertoidea;lizard;Out
Algyroides_marchi;Lacertoidea;lizard;Out
Algyroides_moreoticus;Lacertoidea;lizard;Out
Algyroides_nigropunctatus;Lacertoidea;lizard;Out
Alinea_berengerae;Scincoidea;lizard;Out
Alinea_pergravis;Scincoidea;lizard;Out
Alluaudina_bellyi;Serpentes;snake;Out
Alopoglossus_angulatus;Lacertoidea;lizard;Out
Alopoglossus_atriventris;Lacertoidea;lizard;Out
Alopoglossus_buckleyi;Lacertoidea;lizard;Out
Alopoglossus_copii;Lacertoidea;lizard;Out
Alopoglossus_festae;Lacertoidea;lizard;Out
Alopoglossus_viridiceps;Lacertoidea;lizard;Out
Alsophis_antiguae;Serpentes;snake;Out
Alsophis_antillensis;Serpentes;snake;Out
Alsophis_manselli;Serpentes;snake;Out
Alsophis_rijgersmaei;Serpentes;snake;Out
Alsophis_rufiventris;Serpentes;snake;Out
Alsophis_sajdaki;Serpentes;snake;Out
Alsophis_sibonius;Serpentes;snake;Out
Alsophylax_pipiens;Gekkota;lizard;Asian_Gobi
Altiphylax_levitoni;Gekkota;lizard;Persian
Altiphylax_stoliczkai;Gekkota;lizard;Gobi
Amalosia_lesueurii;Gekkota;lizard;Out
Amalosia_obscura;Gekkota;lizard;Out
Amalosia_rhombifer;Gekkota;lizard;Out
Amastridium_veliferum;Serpentes;snake;Out
Amblyodipsas_dimidiata;Serpentes;snake;Out
Amblyodipsas_polylepis;Serpentes;snake;Out
Amblyrhynchus_cristatus;Iguania;lizard;Out
Ameiva_aggerecusans;Lacertoidea;lizard;Out
Ameiva_ameiva;Lacertoidea;lizard;Out
Ameiva_auberi;Lacertoidea;lizard;Out
Ameiva_bifrontata;Lacertoidea;lizard;Out
Ameiva_chrysolaema;Lacertoidea;lizard;Out
Ameiva_concolor;Lacertoidea;lizard;Out
Ameiva_corax;Lacertoidea;lizard;Out
Ameiva_dorsalis;Lacertoidea;lizard;Out
Ameiva_erythrocephala;Lacertoidea;lizard;Out
Ameiva_exsul;Lacertoidea;lizard;Out
Ameiva_fuscata;Lacertoidea;lizard;Out
Ameiva_griswoldi;Lacertoidea;lizard;Out
Ameiva_jacuba;Lacertoidea;lizard;Out
Ameiva_lineolata;Lacertoidea;lizard;Out
Ameiva_maynardi;Lacertoidea;lizard;Out
Ameiva_nodam;Lacertoidea;lizard;Out
Ameiva_parecis;Lacertoidea;lizard;Out
Ameiva_plei;Lacertoidea;lizard;Out
Ameiva_pluvianotata;Lacertoidea;lizard;Out
Ameiva_polops;Lacertoidea;lizard;Out
Ameiva_taeniura;Lacertoidea;lizard;Out
Ameiva_wetmorei;Lacertoidea;lizard;Out
Ameivula_abaetensis;Lacertoidea;lizard;Out
Ameivula_ocellifera;Lacertoidea;lizard;Out
Amerotyphlops_brongersmianus;Serpentes;snake;Atacama
Amerotyphlops_reticulatus;Serpentes;snake;Out
Amerotyphlops_tasymicris;Serpentes;snake;Out
Amerotyphlops_tycherus;Serpentes;snake;Out
Amphibolurus_muricatus;Iguania;lizard;Out
Amphibolurus_norrisi;Iguania;lizard;Australian
Amphiesma_stolatum;Serpentes;snake;Persian
Amphiglossus_anosyensis;Scincoidea;lizard;Out
Amphiglossus_ardouini;Scincoidea;lizard;Out
Amphiglossus_astrolabi;Scincoidea;lizard;Out
Amphiglossus_crenni;Scincoidea;lizard;Out
Amphiglossus_frontoparietalis;Scincoidea;lizard;Out
Amphiglossus_johannae;Scincoidea;lizard;Out
Amphiglossus_macrocercus;Scincoidea;lizard;Out
Amphiglossus_mandokava;Scincoidea;lizard;Out
Amphiglossus_melanurus;Scincoidea;lizard;Out
Amphiglossus_meva;Scincoidea;lizard;Out
Amphiglossus_ornaticeps;Scincoidea;lizard;Out
Amphiglossus_punctatus;Scincoidea;lizard;Out
Amphiglossus_reticulatus;Scincoidea;lizard;Out
Amphiglossus_splendidus;Scincoidea;lizard;Out
Amphiglossus_tanysoma;Scincoidea;lizard;Out
Amphiglossus_tsaratananensis;Scincoidea;lizard;Out
Amphisbaena_alba;Lacertoidea;worm lizard;Out
Amphisbaena_anaemariae;Lacertoidea;worm lizard;Out
Amphisbaena_angustifrons;Lacertoidea;worm lizard;Out
Amphisbaena_anomala;Lacertoidea;worm lizard;Out
Amphisbaena_bakeri;Lacertoidea;worm lizard;Out
Amphisbaena_barbouri;Lacertoidea;worm lizard;Out
Amphisbaena_bolivica;Lacertoidea;worm lizard;Out
Amphisbaena_brasiliana;Lacertoidea;worm lizard;Out
Amphisbaena_caeca;Lacertoidea;worm lizard;Out
Amphisbaena_caiari;Lacertoidea;worm lizard;Out
Amphisbaena_camura;Lacertoidea;worm lizard;Out
Amphisbaena_carlgansi;Lacertoidea;worm lizard;Out
Amphisbaena_cubana;Lacertoidea;worm lizard;Out
Amphisbaena_cuiabana;Lacertoidea;worm lizard;Out
Amphisbaena_cunhai;Lacertoidea;worm lizard;Out
Amphisbaena_darwini;Lacertoidea;worm lizard;Out
Amphisbaena_fenestrata;Lacertoidea;worm lizard;Out
Amphisbaena_fuliginosa;Lacertoidea;worm lizard;Out
Amphisbaena_hastata;Lacertoidea;worm lizard;Out
Amphisbaena_hyporissor;Lacertoidea;worm lizard;Out
Amphisbaena_ignatiana;Lacertoidea;worm lizard;Out
Amphisbaena_infraorbitale;Lacertoidea;worm lizard;Out
Amphisbaena_innocens;Lacertoidea;worm lizard;Out
Amphisbaena_kingii;Lacertoidea;worm lizard;Out
Amphisbaena_kraoh;Lacertoidea;worm lizard;Out
Amphisbaena_leali;Lacertoidea;worm lizard;Out
Amphisbaena_leeseri;Lacertoidea;worm lizard;Out
Amphisbaena_manni;Lacertoidea;worm lizard;Out
Amphisbaena_mertensii;Lacertoidea;worm lizard;Out
Amphisbaena_microcephalum;Lacertoidea;worm lizard;Out
Amphisbaena_munoai;Lacertoidea;worm lizard;Out
Amphisbaena_polystegum;Lacertoidea;worm lizard;Out
Amphisbaena_roberti;Lacertoidea;worm lizard;Out
Amphisbaena_saxosa;Lacertoidea;worm lizard;Out
Amphisbaena_schmidti;Lacertoidea;worm lizard;Out
Amphisbaena_silvestrii;Lacertoidea;worm lizard;Out
Amphisbaena_vermicularis;Lacertoidea;worm lizard;Out
Amphisbaena_xera;Lacertoidea;worm lizard;Out
Amplorhinus_multimaculatus;Serpentes;snake;Out
Anadia_mcdiarmidi;Lacertoidea;lizard;Out
Anatololacerta_anatolica;Lacertoidea;lizard;Out
Anatololacerta_danfordi;Lacertoidea;lizard;Out
Androngo_trivittatus;Scincoidea;lizard;Out
Anelytropsis_papillosus;Dibamidae;lizard;Out
Anguis_cephallonica;Anguimorpha;lizard;Out
Anguis_colchica;Anguimorpha;lizard;Out
Anguis_fragilis;Anguimorpha;lizard;Out
Anguis_graeca;Anguimorpha;lizard;Out
Anguis_veronensis;Anguimorpha;lizard;Out
Anilios_affinis;Serpentes;snake;Out
Anilios_ammodytes;Serpentes;snake;Australian
Anilios_australis;Serpentes;snake;Out
Anilios_bicolor;Serpentes;snake;Australian
Anilios_bituberculatus;Serpentes;snake;Australian
Anilios_centralis;Serpentes;snake;Australian
Anilios_diversus;Serpentes;snake;Australian
Anilios_endoterus;Serpentes;snake;Australian
Anilios_ganei;Serpentes;snake;Australian
Anilios_grypus;Serpentes;snake;Australian
Anilios_guentheri;Serpentes;snake;Out
Anilios_hamatus;Serpentes;snake;Australian
Anilios_howi;Serpentes;snake;Out
Anilios_kimberleyensis;Serpentes;snake;Out
Anilios_leptosomus;Serpentes;snake;Australian
Anilios_ligatus;Serpentes;snake;Out
Anilios_longissimus;Serpentes;snake;Out
Anilios_nigrescens;Serpentes;snake;Out
Anilios_pilbarensis;Serpentes;snake;Australian
Anilios_pinguis;Serpentes;snake;Out
Anilios_proximus;Serpentes;snake;Out
Anilios_silvia;Serpentes;snake;Out
Anilios_splendidus;Serpentes;snake;Australian
Anilios_troglodytes;Serpentes;snake;Out
Anilios_unguirostris;Serpentes;snake;Out
Anilios_waitii;Serpentes;snake;Australian
Anilios_wiedii;Serpentes;snake;Out
Anilius_scytale;Serpentes;snake;Out
Anisolepis_grilli;Iguania;lizard;Out
Anisolepis_longicauda;Iguania;lizard;Out
Anniella_geronimensis;Anguimorpha;lizard;American
Anniella_pulchra;Anguimorpha;lizard;American
Anolis_acutus;Iguania;lizard;Out
Anolis_aeneus;Iguania;lizard;Out
Anolis_aequatorialis;Iguania;lizard;Out
Anolis_agassizi;Iguania;lizard;Out
Anolis_ahli;Iguania;lizard;Out
Anolis_alayoni;Iguania;lizard;Out
Anolis_alfaroi;Iguania;lizard;Out
Anolis_aliniger;Iguania;lizard;Out
Anolis_allisoni;Iguania;lizard;Out
Anolis_allogus;Iguania;lizard;Out
Anolis_altae;Iguania;lizard;Out
Anolis_altitudinalis;Iguania;lizard;Out
Anolis_alumina;Iguania;lizard;Out
Anolis_alutaceus;Iguania;lizard;Out
Anolis_anatoloros;Iguania;lizard;Out
Anolis_angusticeps;Iguania;lizard;Out
Anolis_annectens;Iguania;lizard;Out
Anolis_anoriensis;Iguania;lizard;Out
Anolis_aquaticus;Iguania;lizard;Out
Anolis_argenteolus;Iguania;lizard;Out
Anolis_argillaceus;Iguania;lizard;Out
Anolis_armouri;Iguania;lizard;Out
Anolis_auratus;Iguania;lizard;Out
Anolis_bahorucoensis;Iguania;lizard;Out
Anolis_baleatus;Iguania;lizard;Out
Anolis_baracoae;Iguania;lizard;Out
Anolis_barahonae;Iguania;lizard;Out
Anolis_barbatus;Iguania;lizard;Out
Anolis_barbouri;Iguania;lizard;Out
Anolis_bartschi;Iguania;lizard;Out
Anolis_benedikti;Iguania;lizard;Out
Anolis_bicaorum;Iguania;lizard;Out
Anolis_bimaculatus;Iguania;lizard;Out
Anolis_biporcatus;Iguania;lizard;Out
Anolis_bitectus;Iguania;lizard;Out
Anolis_bombiceps;Iguania;lizard;Out
Anolis_bonairensis;Iguania;lizard;Out
Anolis_boulengerianus;Iguania;lizard;Out
Anolis_brasiliensis;Iguania;lizard;Out
Anolis_bremeri;Iguania;lizard;Out
Anolis_brevirostris;Iguania;lizard;Out
Anolis_brunneus;Iguania;lizard;Out
Anolis_calimae;Iguania;lizard;Out
Anolis_capito;Iguania;lizard;Out
Anolis_carlliebi;Iguania;lizard;Out
Anolis_carolinensis;Iguania;lizard;Out
Anolis_carpenteri;Iguania;lizard;Out
Anolis_casildae;Iguania;lizard;Out
Anolis_caudalis;Iguania;lizard;Out
Anolis_centralis;Iguania;lizard;Out
Anolis_chamaeleonides;Iguania;lizard;Out
Anolis_chloris;Iguania;lizard;Out
Anolis_chlorocyanus;Iguania;lizard;Out
Anolis_chocorum;Iguania;lizard;Out
Anolis_christophei;Iguania;lizard;Out
Anolis_chrysolepis;Iguania;lizard;Out
Anolis_chrysops;Iguania;lizard;Out
Anolis_clivicola;Iguania;lizard;Out
Anolis_coelestinus;Iguania;lizard;Out
Anolis_confusus;Iguania;lizard;Out
Anolis_conspersus;Iguania;lizard;Out
Anolis_cooki;Iguania;lizard;Out
Anolis_crassulus;Iguania;lizard;Out
Anolis_cristatellus;Iguania;lizard;Out
Anolis_cupeyalensis;Iguania;lizard;Out
Anolis_cupreus;Iguania;lizard;Out
Anolis_cusuco;Iguania;lizard;Out
Anolis_cuvieri;Iguania;lizard;Out
Anolis_cyanopleurus;Iguania;lizard;Out
Anolis_cybotes;Iguania;lizard;Out
Anolis_danieli;Iguania;lizard;Out
Anolis_darlingtoni;Iguania;lizard;Out
Anolis_desechensis;Iguania;lizard;Out
Anolis_desiradei;Iguania;lizard;Out
Anolis_dissimilis;Iguania;lizard;Out
Anolis_distichus;Iguania;lizard;Out
Anolis_dolichocephalus;Iguania;lizard;Out
Anolis_dunni;Iguania;lizard;Out
Anolis_equestris;Iguania;lizard;Out
Anolis_ernestwilliamsi;Iguania;lizard;Out
Anolis_etheridgei;Iguania;lizard;Out
Anolis_eugenegrahami;Iguania;lizard;Out
Anolis_euskalerriari;Iguania;lizard;Out
Anolis_evermanni;Iguania;lizard;Out
Anolis_extremus;Iguania;lizard;Out
Anolis_ferreus;Iguania;lizard;Out
Anolis_festae;Iguania;lizard;Out
Anolis_fitchi;Iguania;lizard;Out
Anolis_fortunensis;Iguania;lizard;Out
Anolis_fowleri;Iguania;lizard;Out
Anolis_fraseri;Iguania;lizard;Out
Anolis_frenatus;Iguania;lizard;Out
Anolis_fuscoauratus;Iguania;lizard;Out
Anolis_gadovii;Iguania;lizard;Out
Anolis_gaigei;Iguania;lizard;Out
Anolis_garmani;Iguania;lizard;Out
Anolis_garridoi;Iguania;lizard;Out
Anolis_gemmosus;Iguania;lizard;Out
Anolis_ginaelisae;Iguania;lizard;Out
Anolis_gingivinus;Iguania;lizard;Out
Anolis_grahami;Iguania;lizard;Out
Anolis_griseus;Iguania;lizard;Out
Anolis_gruuo;Iguania;lizard;Out
Anolis_guafe;Iguania;lizard;Out
Anolis_guamuhaya;Iguania;lizard;Out
Anolis_guazuma;Iguania;lizard;Out
Anolis_gundlachi;Iguania;lizard;Out
Anolis_haetianus;Iguania;lizard;Out
Anolis_hendersoni;Iguania;lizard;Out
Anolis_heterodermus;Iguania;lizard;Out
Anolis_homolechis;Iguania;lizard;Out
Anolis_huilae;Iguania;lizard;Out
Anolis_humilis;Iguania;lizard;Out
Anolis_ibanezi;Iguania;lizard;Out
Anolis_imias;Iguania;lizard;Out
Anolis_immaculogularis;Iguania;lizard;Out
Anolis_inderenae;Iguania;lizard;Out
Anolis_inexpectatus;Iguania;lizard;Out
Anolis_insignis;Iguania;lizard;Out
Anolis_insolitus;Iguania;lizard;Out
Anolis_intermedius;Iguania;lizard;Out
Anolis_isolepis;Iguania;lizard;Out
Anolis_jacare;Iguania;lizard;Out
Anolis_jubar;Iguania;lizard;Out
Anolis_kemptoni;Iguania;lizard;Out
Anolis_koopmani;Iguania;lizard;Out
Anolis_krugi;Iguania;lizard;Out
Anolis_kunayalae;Iguania;lizard;Out
Anolis_laeviventris;Iguania;lizard;Out
Anolis_leachii;Iguania;lizard;Out
Anolis_lemurinus;Iguania;lizard;Out
Anolis_limifrons;Iguania;lizard;Out
Anolis_lineatopus;Iguania;lizard;Out
Anolis_lineatus;Iguania;lizard;Out
Anolis_liogaster;Iguania;lizard;Out
Anolis_lionotus;Iguania;lizard;Out
Anolis_lividus;Iguania;lizard;Out
Anolis_longiceps;Iguania;lizard;Out
Anolis_longitibialis;Iguania;lizard;Out
Anolis_loveridgei;Iguania;lizard;Out
Anolis_loysiana;Iguania;lizard;Out
Anolis_luciae;Iguania;lizard;Out
Anolis_lucius;Iguania;lizard;Out
Anolis_luteogularis;Iguania;lizard;Out
Anolis_macilentus;Iguania;lizard;Out
Anolis_macrinii;Iguania;lizard;Out
Anolis_maculigula;Iguania;lizard;Out
Anolis_magnaphallus;Iguania;lizard;Out
Anolis_marcanoi;Iguania;lizard;Out
Anolis_marmoratus;Iguania;lizard;Out
Anolis_marron;Iguania;lizard;Out
Anolis_maynardi;Iguania;lizard;Out
Anolis_medemi;Iguania;lizard;Out
Anolis_megapholidotus;Iguania;lizard;Out
Anolis_meridionalis;Iguania;lizard;Out
Anolis_mestrei;Iguania;lizard;Out
Anolis_microlepidotus;Iguania;lizard;Out
Anolis_microtus;Iguania;lizard;Out
Anolis_monensis;Iguania;lizard;Out
Anolis_monteverde;Iguania;lizard;Out
Anolis_monticola;Iguania;lizard;Out
Anolis_neblininus;Iguania;lizard;Out
Anolis_nebuloides;Iguania;lizard;Out
Anolis_nebulosus;Iguania;lizard;Out
Anolis_nicefori;Iguania;lizard;Out
Anolis_nietoi;Iguania;lizard;Out
Anolis_noblei;Iguania;lizard;Out
Anolis_nubilus;Iguania;lizard;Out
Anolis_occultus;Iguania;lizard;Out
Anolis_ocelloscapularis;Iguania;lizard;Out
Anolis_oculatus;Iguania;lizard;Out
Anolis_olssoni;Iguania;lizard;Out
Anolis_omiltemanus;Iguania;lizard;Out
Anolis_onca;Iguania;lizard;Out
Anolis_opalinus;Iguania;lizard;Out
Anolis_ophiolepis;Iguania;lizard;Out
Anolis_oporinus;Iguania;lizard;Out
Anolis_ortonii;Iguania;lizard;Out
Anolis_osa;Iguania;lizard;Out
Anolis_otongae;Iguania;lizard;Out
Anolis_oxylophus;Iguania;lizard;Out
Anolis_pachypus;Iguania;lizard;Out
Anolis_paternus;Iguania;lizard;Out
Anolis_peraccae;Iguania;lizard;Out
Anolis_peucephilus;Iguania;lizard;Out
Anolis_philopunctatus;Iguania;lizard;Out
Anolis_phyllorhinus;Iguania;lizard;Out
Anolis_placidus;Iguania;lizard;Out
Anolis_planiceps;Iguania;lizard;Out
Anolis_podocarpus;Iguania;lizard;Out
Anolis_poecilopus;Iguania;lizard;Out
Anolis_poei;Iguania;lizard;Out
Anolis_pogus;Iguania;lizard;Out
Anolis_polylepis;Iguania;lizard;Out
Anolis_poncensis;Iguania;lizard;Out
Anolis_porcatus;Iguania;lizard;Out
Anolis_porcus;Iguania;lizard;Out
Anolis_princeps;Iguania;lizard;Out
Anolis_pseudokemptoni;Iguania;lizard;Out
Anolis_pseudopachypus;Iguania;lizard;Out
Anolis_pulchellus;Iguania;lizard;Out
Anolis_pumilus;Iguania;lizard;Out
Anolis_punctatus;Iguania;lizard;Out
Anolis_purpurgularis;Iguania;lizard;Out
Anolis_quadriocellifer;Iguania;lizard;Out
Anolis_quaggulus;Iguania;lizard;Out
Anolis_quercorum;Iguania;lizard;Out
Anolis_reconditus;Iguania;lizard;Out
Anolis_rejectus;Iguania;lizard;Out
Anolis_richardii;Iguania;lizard;Out
Anolis_ricordii;Iguania;lizard;Out
Anolis_rodriguezi;Iguania;lizard;Out
Anolis_roquet;Iguania;lizard;Out
Anolis_rubribarbus;Iguania;lizard;Out
Anolis_sabanus;Iguania;lizard;Out
Anolis_sacamecatensis;Iguania;lizard;Out
Anolis_sagrei;Iguania;lizard;Out
Anolis_schwartzi;Iguania;lizard;Out
Anolis_scriptus;Iguania;lizard;Out
Anolis_semilineatus;Iguania;lizard;Out
Anolis_sericeus;Iguania;lizard;Out
Anolis_sheplani;Iguania;lizard;Out
Anolis_shrevei;Iguania;lizard;Out
Anolis_singularis;Iguania;lizard;Out
Anolis_smallwoodi;Iguania;lizard;Out
Anolis_smaragdinus;Iguania;lizard;Out
Anolis_sminthus;Iguania;lizard;Out
Anolis_stevepoei;Iguania;lizard;Out
Anolis_strahmi;Iguania;lizard;Out
Anolis_stratulus;Iguania;lizard;Out
Anolis_subocularis;Iguania;lizard;Out
Anolis_taylori;Iguania;lizard;Out
Anolis_tenorioensis;Iguania;lizard;Out
Anolis_terraealtae;Iguania;lizard;Out
