desert;var;type;low.ci;mean;up.ci;sd
Persian;Mean Diurnal Range;Average;0.0280309107015319;0.110169618201266;0.192308325701001;0.0419075038263952
Saharo-Arabian;Mean Diurnal Range;Average;-0.215691212099987;-0.120631975890227;-0.0255727396804669;0.0484996103111021
Atacama;Mean Diurnal Range;Heterogeneity within;-0.00220101785991808;0.0829493039693429;0.168099625798604;0.0434440417496229
Australian;Mean Diurnal Range;Heterogeneity within;0.0486356628032844;0.131157300307164;0.213678937811043;0.0421028762774896
Central Asian;Mean Diurnal Range;Heterogeneity within;0.0580605210943076;0.14228058298762;0.226500644880932;0.0429694193333226
Gobi;Mean Diurnal Range;Heterogeneity within;-0.211438516498436;-0.11984284699888;-0.0282471774993236;0.0467324844385492
Kalahari;Mean Diurnal Range;Heterogeneity within;0.23295792221895;0.300631282767773;0.368304643316597;0.0345272247698081
North American;Mean Diurnal Range;Heterogeneity within;-0.0889628403436742;-0.00640516296400546;0.0761525144156633;0.0421212639692188
Persian;Mean Diurnal Range;Heterogeneity within;-0.11428976393854;-0.0275487727470294;0.0591922184444812;0.0442556077507707
Saharo-Arabian;Mean Diurnal Range;Heterogeneity within;0.0683568033807697;0.150314269637147;0.232271735893524;0.041815033804274
Atacama;Mean Diurnal Range;Surrounding heterogeneity;-0.25000217498716;-0.158842800350501;-0.0676834257138428;0.0465098850187033
Australian;Mean Diurnal Range;Surrounding heterogeneity;-0.131584968973172;-0.0424663507980684;0.0466522673770352;0.0454686827423998
Central Asian;Mean Diurnal Range;Surrounding heterogeneity;0.161419557138963;0.23460193137399;0.307784305609017;0.0373379460382791
Gobi;Mean Diurnal Range;Surrounding heterogeneity;-0.141050797586598;-0.0507055231531659;0.0396397512802657;0.046094527772159
Kalahari;Mean Diurnal Range;Surrounding heterogeneity;0.339632711654536;0.397829815211742;0.456026918768948;0.0296923997740849
North American;Mean Diurnal Range;Surrounding heterogeneity;-0.206092911404223;-0.122165951905611;-0.0382389924069992;0.04281987729521
Persian;Mean Diurnal Range;Surrounding heterogeneity;-0.112895746381987;-0.0269197645640015;0.0590562172539839;0.0438652968459109
Saharo-Arabian;Mean Diurnal Range;Surrounding heterogeneity;0.104425327953194;0.186249735207418;0.268074142461642;0.0417471465582776
Atacama;Prec. Driest Month;Average;0.238386746136231;0.324577240781499;0.410767735426767;0.0439747421659531
Australian;Prec. Driest Month;Average;-0.259303468800877;-0.178583592102214;-0.0978637154035509;0.0411836105605424
Central Asian;Prec. Driest Month;Average;-0.665061416687551;-0.614106087238619;-0.563150757789687;0.0259976170657816
Gobi;Prec. Driest Month;Average;-0.229253465047583;-0.142519251395382;-0.0557850377431809;0.0442521498225516
Kalahari;Prec. Driest Month;Average;-0.37517094114821;-0.300950812306874;-0.226730683465537;0.0378674126741513
North American;Prec. Driest Month;Average;-0.380033580106779;-0.317485682553131;-0.254937784999484;0.0319121926294118
Persian;Prec. Driest Month;Average;-0.141913551687336;-0.0484342631379391;0.0450450254114582;0.047693514566019
Saharo-Arabian;Prec. Driest Month;Average;0.0469574162767906;0.152621981503484;0.258286546730178;0.0539104924625988
Atacama;Prec. Driest Month;Heterogeneity within;0.260767259276147;0.344982546035588;0.429197832795029;0.0429669830405313
Australian;Prec. Driest Month;Heterogeneity within;-0.167633593359644;-0.0819918479328169;0.00364989749401012;0.0436947680749117
Central Asian;Prec. Driest Month;Heterogeneity within;-0.409110578987008;-0.331132053221912;-0.253153527456816;0.0397849621250488
Gobi;Prec. Driest Month;Heterogeneity within;-0.251185235904887;-0.155318677935518;-0.0594521199661488;0.0489115091680456
Kalahari;Prec. Driest Month;Heterogeneity within;-0.166435416848796;-0.0753913390383298;0.0156527387721366;0.0464510601073808
North American;Prec. Driest Month;Heterogeneity within;-0.3689312566886;-0.305220821636332;-0.241510386584065;0.032505324006259
Persian;Prec. Driest Month;Heterogeneity within;-0.179528584620719;-0.0864975304077549;0.00653352380520909;0.0474648235780428
Saharo-Arabian;Prec. Driest Month;Heterogeneity within;0.051874964953582;0.158945205834538;0.266015446715494;0.054627673918855
Atacama;Prec. Driest Month;Surrounding heterogeneity;0.436901209953618;0.50652554283112;0.576149875708622;0.0355226188150522
Australian;Prec. Driest Month;Surrounding heterogeneity;-0.187223883627361;-0.10646372964189;-0.0257035756564202;0.0412041601966685
Central Asian;Prec. Driest Month;Surrounding heterogeneity;-0.434739013917482;-0.353347214510008;-0.271955415102533;0.0415264282691197
Gobi;Prec. Driest Month;Surrounding heterogeneity;-0.161193337842921;-0.0636845558864218;0.0338242260700777;0.0497493785492344
Kalahari;Prec. Driest Month;Surrounding heterogeneity;-0.320543788156554;-0.236848462234445;-0.153153136312336;0.0427016968990353
North American;Prec. Driest Month;Surrounding heterogeneity;-0.464938563661503;-0.399838278725515;-0.334737993789528;0.0332144310897896
Persian;Prec. Driest Month;Surrounding heterogeneity;-0.140074846678127;-0.0515096845880459;0.0370554775020353;0.0451863071888169
Saharo-Arabian;Prec. Driest Month;Surrounding heterogeneity;0.0514845269771663;0.152407384368724;0.253330241760281;0.0514912537712028
Atacama;Aridity;Average;0.275491182935418;0.338371012168086;0.401250841400755;0.0320815455268718
Australian;Aridity;Average;0.0242132221501444;0.104470112750321;0.184727003350498;0.0409473931633554
Central Asian;Aridity;Average;-0.537393664957171;-0.471518046947416;-0.405642428937661;0.0336100091886506
Gobi;Aridity;Average;-0.430491165951907;-0.35525207059207;-0.280012975232234;0.038387293550937
Kalahari;Aridity;Average;-0.34953917442952;-0.264860805928768;-0.180182437428015;0.0432032492350778
North American;Aridity;Average;-0.25236773471992;-0.188420301693144;-0.124472868666369;0.0326262413401916
Persian;Aridity;Average;-0.349719863121046;-0.272101513036759;-0.194483162952473;0.0396011990225952
Saharo-Arabian;Aridity;Average;0.227847508601585;0.302571574881962;0.377295641162338;0.0381245236124372
Atacama;Aridity;Heterogeneity within;0.301914636150016;0.366844605841657;0.431774575533297;0.0331275355569594
Australian;Aridity;Heterogeneity within;-0.134826833170336;-0.0449489113496846;0.0449290104709664;0.0458560825615566
Central Asian;Aridity;Heterogeneity within;-0.249552924831922;-0.164609459667416;-0.0796659945029097;0.0433385026349521
Gobi;Aridity;Heterogeneity within;-0.430987259034289;-0.351690408722478;-0.272393558410668;0.0404575766896992
Kalahari;Aridity;Heterogeneity within;0.216475995328933;0.288946011648651;0.36141602796837;0.0369744981223055
North American;Aridity;Heterogeneity within;-0.301370157980949;-0.224369316699153;-0.147368475417357;0.0392861435111204
Persian;Aridity;Heterogeneity within;-0.29737502038846;-0.206630748664588;-0.115886476940716;0.0462980978183021
Saharo-Arabian;Aridity;Heterogeneity within;0.268880850236723;0.342554906737679;0.416228963238635;0.0375888043372225
Atacama;Aridity;Surrounding heterogeneity;0.444551048157118;0.505882550336366;0.567214052515614;0.0312915827445142
Australian;Aridity;Surrounding heterogeneity;-0.229450684875065;-0.139091924897226;-0.048733164919386;0.0461014081519589
Central Asian;Aridity;Surrounding heterogeneity;-0.27775367570265;-0.192899676396492;-0.108045677090334;0.0432928567888562
Gobi;Aridity;Surrounding heterogeneity;-0.380686223757547;-0.294244934812401;-0.207803645867256;0.0441026984414006
Kalahari;Aridity;Surrounding heterogeneity;0.108604468200933;0.193211427105557;0.277818386010181;0.0431668157676654
North American;Aridity;Surrounding heterogeneity;-0.41721318770772;-0.348173616567003;-0.279134045426286;0.0352242709901617
Persian;Aridity;Surrounding heterogeneity;-0.303060364874142;-0.217048150151158;-0.131035935428175;0.0438837830219306
Saharo-Arabian;Aridity;Surrounding heterogeneity;0.306140157918886;0.377158192486096;0.448176227053306;0.0362336911057193
Atacama;Evapotransp.;Average;-0.602930389100785;-0.545569327457134;-0.488208265813483;0.029265847777373
Australian;Evapotransp.;Average;0.28408905740798;0.349595312860864;0.415101568313747;0.0334215589045324
Central Asian;Evapotransp.;Average;0.625560915413127;0.665233995017371;0.704907074621614;0.0202413671450222
Gobi;Evapotransp.;Average;0.362753432137683;0.428998989943504;0.495244547749326;0.0337987539825622
Kalahari;Evapotransp.;Average;-0.142275584382096;-0.0552679455973481;0.0317396931873998;0.0443916524411979
North American;Evapotransp.;Average;0.542013530042854;0.603404245298092;0.66479496055333;0.0313217934975704
Persian;Evapotransp.;Average;0.244284365456659;0.326285974088521;0.408287582720382;0.0418375554244191
Saharo-Arabian;Evapotransp.;Average;-0.305047109999627;-0.222605484305152;-0.140163858610677;0.0420620539257526
Atacama;Evapotransp.;Heterogeneity within;0.135720517665197;0.215593729092988;0.295466940520779;0.0407516384835667
Australian;Evapotransp.;Heterogeneity within;0.0244734619834716;0.110911070897299;0.197348679811126;0.0441008208744015
Central Asian;Evapotransp.;Heterogeneity within;0.135079631135715;0.215395776106988;0.29571192107826;0.0409776249853431
Gobi;Evapotransp.;Heterogeneity within;-0.247061921715842;-0.157922543866377;-0.0687831660169119;0.0454792744129923
Kalahari;Evapotransp.;Heterogeneity within;0.146033312555106;0.216994844836285;0.287956377117464;0.0362048634087648
North American;Evapotransp.;Heterogeneity within;-0.148980782521494;-0.0688717635556993;0.0112372554100955;0.0408719484519361
Persian;Evapotransp.;Heterogeneity within;-0.111550954317278;-0.0215194640801565;0.0685120261569649;0.0459344337944497
Saharo-Arabian;Evapotransp.;Heterogeneity within;0.082516013855465;0.164292161170245;0.246068308485024;0.0417225241401936
Atacama;Evapotransp.;Surrounding heterogeneity;-0.00729542040991595;0.0853773084793507;0.178050037368617;0.0472820045353401
Australian;Evapotransp.;Surrounding heterogeneity;-0.142530041749381;-0.0551196665687306;0.0322907086119198;0.0445971301942094
Central Asian;Evapotransp.;Surrounding heterogeneity;0.0726637969908833;0.166614827523921;0.260565858056958;0.0479341992515496
Gobi;Evapotransp.;Surrounding heterogeneity;-0.213512365373892;-0.118351164618078;-0.0231899638622646;0.0485516330386805
Kalahari;Evapotransp.;Surrounding heterogeneity;0.0590165238011788;0.136647639396956;0.214278754992733;0.0396077120386617
North American;Evapotransp.;Surrounding heterogeneity;-0.165161519009156;-0.0864435748712332;-0.00772563073331037;0.0401622163968994
Persian;Evapotransp.;Surrounding heterogeneity;-0.140053380018652;-0.0492436039043779;0.0415661722098963;0.0463315184256501
Saharo-Arabian;Evapotransp.;Surrounding heterogeneity;0.127683676670766;0.208642464909605;0.289601253148445;0.0413055042034895
